Date,SM,Start Depth,End Depth,Site_ID,Sensor
2001/12/1,23.65541667,15,30,1,1
2001/12/1,23.4575,30,60,1,2
2002/1/3,20.58458333,30,60,1,2
2002/1/3,20.26145833,60,100,1,3
2002/1/4,20.078125,15,30,1,1
2002/1/4,19.975625,30,60,1,2
2002/1/4,19.87854167,60,100,1,3
2002/1/5,19.790625,15,30,1,1
2002/1/5,19.608125,30,60,1,2
2002/1/5,19.32875,60,100,1,3
2002/1/6,19.09791667,15,30,1,1
2002/1/6,19.18458333,30,60,1,2
2002/1/6,19.19458333,60,100,1,3
2002/1/7,19.189375,15,30,1,1
2002/1/7,19.114375,30,60,1,2
2002/1/7,19.02145833,60,100,1,3
2002/1/8,19.02416667,15,30,1,1
2002/1/8,21.96375,30,60,1,2
2002/1/8,24.24520833,60,100,1,3
2002/1/9,24.18645833,15,30,1,1
2002/1/9,24.08458333,30,60,1,2
2002/1/9,24.21354167,60,100,1,3
2002/1/10,24.27708333,15,30,1,1
2002/1/10,24.05666667,30,60,1,2
2002/1/10,23.88458333,60,100,1,3
2002/1/11,23.658125,15,30,1,1
2002/1/11,23.34666667,30,60,1,2
2002/1/11,23.27520833,60,100,1,3
2002/1/12,22.93791667,15,30,1,1
2002/1/12,22.60104167,30,60,1,2
2002/1/12,22.30625,60,100,1,3
2002/1/13,21.88979167,15,30,1,1
2002/1/13,22.36416667,30,60,1,2
2002/1/13,22.32666667,60,100,1,3
2002/1/14,21.85208333,15,30,1,1
2002/1/14,21.55041667,30,60,1,2
2002/1/14,21.96958333,60,100,1,3
2002/1/15,22.01979167,15,30,1,1
2002/1/15,21.76083333,30,60,1,2
2002/1/15,23.214375,60,100,1,3
2002/1/16,22.73729167,15,30,1,1
2002/1/16,22.71833333,30,60,1,2
2002/1/16,22.49416667,60,100,1,3
2002/1/17,22.43875,15,30,1,1
2002/1/17,22.22833333,30,60,1,2
2002/1/17,21.995625,60,100,1,3
2002/1/18,21.78833333,15,30,1,1
2002/1/18,21.54041667,30,60,1,2
2002/1/18,21.56354167,60,100,1,3
2002/1/19,21.77875,15,30,1,1
2002/1/19,21.703125,30,60,1,2
2002/1/19,21.56520833,60,100,1,3
2002/1/20,21.45375,15,30,1,1
2002/1/20,21.34770833,30,60,1,2
2002/1/20,21.22770833,60,100,1,3
2002/1/21,21.10916667,15,30,1,1
2002/1/21,21.04083333,30,60,1,2
2002/1/21,20.92958333,60,100,1,3
2002/1/22,20.88895833,15,30,1,1
2002/1/22,20.771875,30,60,1,2
2002/1/22,20.671875,60,100,1,3
2002/1/23,20.72729167,15,30,1,1
2002/1/23,20.72354167,30,60,1,2
2002/1/23,20.82125,60,100,1,3
2002/1/24,20.75833333,15,30,1,1
2002/1/24,21.01645833,30,60,1,2
2002/1/24,21.57770833,60,100,1,3
2002/1/25,21.673125,15,30,1,1
2002/1/25,23.71833333,30,60,1,2
2002/1/25,25.749375,60,100,1,3
2002/1/26,25.71916667,15,30,1,1
2002/1/26,30.16625,30,60,1,2
2002/1/26,32.62916667,60,100,1,3
2002/1/27,33.993125,15,30,1,1
2002/1/27,33.743125,30,60,1,2
2002/1/27,33.02541667,60,100,1,3
2002/1/28,32.535625,15,30,1,1
2002/1/28,32.21583333,30,60,1,2
2002/1/28,32.07270833,60,100,1,3
2002/1/29,31.9625,15,30,1,1
2002/1/29,31.83541667,30,60,1,2
2002/1/29,31.53729167,60,100,1,3
2002/1/30,31.43979167,15,30,1,1
2002/1/30,31.45729167,30,60,1,2
2002/1/30,31.22770833,60,100,1,3
2002/1/31,30.94354167,15,30,1,1
2002/1/31,30.673125,30,60,1,2
2002/1/31,30.421875,60,100,1,3
2002/2/1,30.21770833,15,30,1,1
2002/2/1,29.818125,30,60,1,2
2002/2/1,32.10229167,60,100,1,3
2002/2/2,34.28375,15,30,1,1
2002/2/2,35.423125,30,60,1,2
2002/2/2,35.36833333,60,100,1,3
2002/2/3,34.86083333,15,30,1,1
2002/2/3,34.34916667,30,60,1,2
2002/2/3,35.76708333,60,100,1,3
2002/2/4,35.46729167,15,30,1,1
2002/2/4,36.23395833,30,60,1,2
2002/2/4,35.33270833,60,100,1,3
2002/2/5,35.04916667,15,30,1,1
2002/2/5,35.05458333,30,60,1,2
2002/2/5,34.93125,60,100,1,3
2002/2/6,34.81416667,15,30,1,1
2002/2/6,34.37333333,30,60,1,2
2002/2/6,34.49,60,100,1,3
2002/2/7,35.43395833,15,30,1,1
2002/2/7,35.29291667,30,60,1,2
2002/2/7,35.20958333,60,100,1,3
2002/2/8,35.03625,15,30,1,1
2002/2/8,35.70729167,30,60,1,2
2002/2/8,37.54479167,60,100,1,3
2002/2/9,36.76833333,15,30,1,1
2002/2/9,36.36416667,30,60,1,2
2002/2/9,35.98729167,60,100,1,3
2002/2/10,36.04708333,15,30,1,1
2002/2/10,35.9225,30,60,1,2
2002/2/10,37.07833333,60,100,1,3
2002/2/11,37.76354167,15,30,1,1
2002/2/11,37.94895833,30,60,1,2
2002/2/11,37.04083333,60,100,1,3
2002/2/12,35.88583333,15,30,1,1
2002/2/12,35.84,30,60,1,2
2002/2/12,36.15666667,60,100,1,3
2002/2/13,36.244375,15,30,1,1
2002/2/13,36.08770833,30,60,1,2
2002/2/13,35.7075,60,100,1,3
2002/2/14,35.38979167,15,30,1,1
2002/2/14,35.170625,30,60,1,2
2002/2/14,35.1025,60,100,1,3
2002/2/15,35.13145833,15,30,1,1
2002/2/15,35.45145833,30,60,1,2
2002/2/22,7.144791667,15,30,1,1
2002/2/22,35.12854167,30,60,1,2
2002/2/22,34.99645833,60,100,1,3
2002/2/23,34.60375,15,30,1,1
2002/2/23,33.98229167,30,60,1,2
2002/2/23,34.64625,60,100,1,3
2002/2/24,36.65666667,15,30,1,1
2002/2/24,36.185,30,60,1,2
2002/2/24,35.74791667,60,100,1,3
2002/2/25,35.278125,15,30,1,1
2002/2/25,34.76291667,30,60,1,2
2002/2/25,34.2475,60,100,1,3
2002/2/26,33.92083333,15,30,1,1
2002/2/26,33.80875,30,60,1,2
2002/2/26,33.70291667,60,100,1,3
2002/2/27,33.31854167,15,30,1,1
2002/2/27,32.94770833,30,60,1,2
2002/2/27,32.83333333,60,100,1,3
2002/2/28,32.584375,15,30,1,1
2002/2/28,32.220625,30,60,1,2
2002/2/28,31.84770833,60,100,1,3
2002/3/1,31.39125,15,30,1,1
2002/3/1,31.53291667,30,60,1,2
2002/3/1,31.90520833,60,100,1,3
2002/3/2,31.64625,15,30,1,1
2002/3/2,30.88833333,30,60,1,2
2002/3/2,30.70833333,60,100,1,3
2002/3/3,33.73666667,15,30,1,1
2002/3/3,34.1425,30,60,1,2
2002/3/3,33.93125,60,100,1,3
2002/3/4,33.46770833,15,30,1,1
2002/3/4,33.53125,30,60,1,2
2002/3/4,33.27395833,60,100,1,3
2002/3/5,33.27020833,15,30,1,1
2002/3/5,33.23270833,30,60,1,2
2002/3/5,33.05604167,60,100,1,3
2002/3/6,32.51083333,15,30,1,1
2002/3/6,31.97708333,30,60,1,2
2002/3/6,31.278125,60,100,1,3
2002/3/7,30.38145833,15,30,1,1
2002/3/7,31.79770833,30,60,1,2
2002/3/7,35.61125,60,100,1,3
2002/3/8,36.06604167,15,30,1,1
2002/3/8,36.76729167,30,60,1,2
2002/3/8,35.22458333,60,100,1,3
2002/3/9,34.16020833,15,30,1,1
2002/3/9,32.911875,30,60,1,2
2002/3/9,32.0825,60,100,1,3
2002/3/10,31.3225,15,30,1,1
2002/3/10,30.50395833,30,60,1,2
2002/3/10,30.26,60,100,1,3
2002/3/11,30.02041667,15,30,1,1
2002/3/11,29.89520833,30,60,1,2
2002/3/11,29.98708333,60,100,1,3
2002/3/12,29.564375,15,30,1,1
2002/3/12,29.120625,30,60,1,2
2002/3/12,28.37645833,60,100,1,3
2002/3/13,27.48020833,15,30,1,1
2002/3/13,26.855625,30,60,1,2
2002/3/13,26.58708333,60,100,1,3
2002/3/14,26.14,15,30,1,1
2002/3/14,25.74520833,30,60,1,2
2002/3/14,25.43666667,60,100,1,3
2002/3/15,25.2125,15,30,1,1
2002/3/15,24.831875,30,60,1,2
2002/3/15,24.42604167,60,100,1,3
2002/3/16,23.98020833,15,30,1,1
2002/3/16,23.84979167,30,60,1,2
2002/3/16,24.151875,60,100,1,3
2002/3/17,24.64875,15,30,1,1
2002/3/17,24.10333333,30,60,1,2
2002/3/17,23.645,60,100,1,3
2002/3/18,23.51979167,15,30,1,1
2002/3/18,23.18458333,30,60,1,2
2002/3/18,22.95729167,60,100,1,3
2002/3/19,22.72,15,30,1,1
2002/3/19,22.585,30,60,1,2
2002/3/19,22.70979167,60,100,1,3
2002/3/20,23.04645833,15,30,1,1
2002/3/20,22.58666667,30,60,1,2
2002/3/20,22.34833333,60,100,1,3
2002/3/21,22.16520833,15,30,1,1
2002/3/21,22.054375,30,60,1,2
2002/3/21,21.74145833,60,100,1,3
2002/3/22,21.41520833,15,30,1,1
2002/3/22,21.16583333,30,60,1,2
2002/3/22,21.02125,60,100,1,3
2002/3/23,20.814375,15,30,1,1
2002/3/23,20.41375,30,60,1,2
2002/3/23,20.70104167,60,100,1,3
2002/3/24,20.80479167,15,30,1,1
2002/3/24,20.508125,30,60,1,2
2002/3/24,20.101875,60,100,1,3
2002/3/25,19.84770833,15,30,1,1
2002/3/25,19.691875,30,60,1,2
2002/3/25,19.555,60,100,1,3
2002/3/26,19.415625,15,30,1,1
2002/3/26,19.20729167,30,60,1,2
2002/3/26,19.07854167,60,100,1,3
2002/3/27,19.25041667,15,30,1,1
2002/3/27,19.04458333,30,60,1,2
2002/3/27,19.02979167,60,100,1,3
2002/3/28,18.908125,15,30,1,1
2002/3/28,18.63541667,30,60,1,2
2002/3/28,18.57854167,60,100,1,3
2002/3/29,18.62291667,15,30,1,1
2002/3/29,18.735625,30,60,1,2
2002/3/29,18.63666667,60,100,1,3
2002/3/30,18.45895833,15,30,1,1
2002/3/30,18.34395833,30,60,1,2
2002/3/30,18.43020833,60,100,1,3
2002/3/31,19.81708333,15,30,1,1
2002/3/31,20.656875,30,60,1,2
2002/3/31,20.253125,60,100,1,3
2002/4/1,20.26583333,15,30,1,1
2002/4/1,20.40229167,30,60,1,2
2002/4/1,19.97541667,60,100,1,3
2002/4/2,19.50520833,15,30,1,1
2002/4/2,19.27958333,30,60,1,2
2002/4/2,19.23541667,60,100,1,3
2002/4/4,23.82104167,15,30,1,1
2002/4/4,23.735625,30,60,1,2
2002/4/4,24.06375,60,100,1,3
2002/4/5,23.335625,15,30,1,1
2002/4/5,22.42145833,30,60,1,2
2002/4/5,21.78520833,60,100,1,3
2002/4/6,21.05354167,15,30,1,1
2002/4/6,20.2725,30,60,1,2
2002/4/6,19.576875,60,100,1,3
2002/4/7,19.37333333,15,30,1,1
2002/4/7,19.37583333,30,60,1,2
2002/4/7,19.276875,60,100,1,3
2002/4/8,19.051875,15,30,1,1
2002/4/8,18.35458333,30,60,1,2
2002/4/8,18.27791667,60,100,1,3
2002/4/9,18.22729167,15,30,1,1
2002/4/9,18.16958333,30,60,1,2
2002/4/9,18.15541667,60,100,1,3
2002/4/10,18.23354167,15,30,1,1
2002/4/10,18.17541667,30,60,1,2
2002/4/10,17.9675,60,100,1,3
2002/4/11,17.81583333,15,30,1,1
2002/4/11,17.88645833,30,60,1,2
2002/4/11,18.29104167,60,100,1,3
2002/4/12,19.00895833,15,30,1,1
2002/4/12,19.11395833,30,60,1,2
2002/4/12,18.84854167,60,100,1,3
2002/4/13,18.60916667,15,30,1,1
2002/4/13,18.474375,30,60,1,2
2002/4/13,18.29833333,60,100,1,3
2002/4/14,18.18270833,15,30,1,1
2002/4/14,18.32229167,30,60,1,2
2002/4/14,18.453125,60,100,1,3
2002/4/15,18.349375,15,30,1,1
2002/4/15,18.28541667,30,60,1,2
2002/4/15,18.25375,60,100,1,3
2002/4/16,18.1825,15,30,1,1
2002/4/16,18.11645833,30,60,1,2
2002/4/16,18.0275,60,100,1,3
2002/4/17,17.88291667,15,30,1,1
2002/4/17,17.68270833,30,60,1,2
2002/4/17,17.556875,60,100,1,3
2002/4/18,17.68270833,15,30,1,1
2002/4/18,17.74916667,30,60,1,2
2002/4/18,17.67604167,60,100,1,3
2002/4/19,17.893125,15,30,1,1
2002/4/19,17.96625,30,60,1,2
2002/4/19,17.98145833,60,100,1,3
2002/4/20,17.68458333,15,30,1,1
2002/4/20,17.496875,30,60,1,2
2002/4/20,17.648125,60,100,1,3
2002/4/21,17.64125,15,30,1,1
2002/4/21,17.55166667,30,60,1,2
2002/4/21,17.419375,60,100,1,3
2002/4/22,17.60270833,15,30,1,1
2002/4/22,17.65354167,30,60,1,2
2002/4/22,17.581875,60,100,1,3
2002/4/23,17.53020833,15,30,1,1
2002/4/23,17.49166667,30,60,1,2
2002/4/23,17.409375,60,100,1,3
2002/4/24,17.253125,15,30,1,1
2002/4/24,17.22166667,30,60,1,2
2002/4/24,17.19916667,60,100,1,3
2002/4/25,17.26666667,15,30,1,1
2002/4/25,17.22479167,30,60,1,2
2002/4/25,17.27354167,60,100,1,3
2002/4/26,17.244375,15,30,1,1
2002/4/26,17.328125,30,60,1,2
2002/4/26,17.256875,60,100,1,3
2002/4/27,17.16833333,15,30,1,1
2002/4/27,17.306875,30,60,1,2
2002/4/27,17.284375,60,100,1,3
2002/4/28,17.32354167,15,30,1,1
2002/4/28,17.29375,30,60,1,2
2002/4/28,17.43666667,60,100,1,3
2002/4/29,18.35833333,15,30,1,1
2002/4/29,18.76354167,30,60,1,2
2002/4/29,18.81125,60,100,1,3
2002/4/30,18.75104167,15,30,1,1
2002/4/30,18.65916667,30,60,1,2
2002/4/30,18.55125,60,100,1,3
2002/5/1,18.60833333,15,30,1,1
2002/5/1,18.83604167,30,60,1,2
2002/5/1,19.28020833,60,100,1,3
2002/5/2,19.371875,15,30,1,1
