Site_ID,Sensor,BDW,CLY,SLT,SND,SOC
1,1,1.520921,6,4,90,0.92
1,2,1.555309,7,5,89,0.47
1,3,1.552718,9,6,85,0.33
2,1,1.435333,3,2,95,1.57
2,2,1.434808,6,3,91,1.33
2,3,1.448582,6,3,92,0.67
3,1,1.185091,29,13,58,3.33
3,2,1.266028,31,13,56,1.78
3,3,1.368789,36,13,51,1.01
4,1,1.482978,21,15,64,1.06
4,2,1.525504,25,15,60,0.46
4,3,1.503076,37,13,51,0.3
5,1,1.286274,16,11,73,2.49
5,2,1.338365,20,11,69,1.5
5,3,1.312163,36,11,53,0.72
6,1,1.472981,21,9,70,1.07
6,2,1.510312,36,10,54,0.82
6,3,1.548991,41,11,48,0.53
7,1,1.47568,31,15,54,0.97
7,2,1.506799,40,14,45,0.62
7,3,1.485384,44,14,42,0.4
8,1,1.35104,18,11,72,3.3
8,2,1.402998,19,10,71,1.74
8,3,1.375118,34,11,55,0.85
10,1,1.464702,18,7,75,0.7
10,2,1.481266,27,8,65,0.53
10,3,1.467651,38,11,51,0.31
11,1,1.365689,33,11,57,1.24
11,2,1.381738,42,12,46,1.21
11,3,1.374477,42,13,45,0.49
12,1,1.363345,54,12,34,0.82
12,2,1.405129,55,13,32,0.65
12,3,1.405794,57,13,30,0.52
13,1,1.342407,45,12,43,1.51
13,2,1.371913,50,12,38,1.04
13,3,1.390635,51,12,36,0.63
14,1,1.363416,47,12,41,1.65
14,2,1.397185,52,12,36,0.99
14,3,1.423942,51,12,37,0.59
15,1,1.383049,28,10,62,1.33
15,2,1.415813,35,12,53,0.92
15,3,1.441729,38,10,52,0.65
16,1,1.477734,20,16,64,1.19
16,2,1.548459,25,16,59,0.49
16,3,1.510623,36,14,50,0.37
17,1,1.462643,11,8,81,1.78
17,2,1.51034,14,8,78,1.21
17,3,1.524608,18,9,74,1.08
