Site_ID,Sensor,BDW,CLY,SLT,SND,SOC
1,1,1.4876865,13.5,11,75,1.325
1,2,1.515848,20,12,68,0.49
1,3,1.550681,25,12,63,0.48
2,1,1.54739,18,13,68.5,0.995
2,2,1.521679,30,12,57,0.32
2,3,1.554645,37,13,50,0.27
3,1,1.5524265,19,13.5,68,1.015
3,2,1.532585,31,13,56,0.26
3,3,1.565401,39,14,48,0.23
4,1,1.5338245,17.5,13,69,0.835
4,2,1.522577,29,13,57,0.28
4,3,1.556353,37,13,50,0.25
5,1,1.536194,16.5,12,70.5,1.11
5,2,1.524128,27,13,60,0.33
5,3,1.558735,36,13,51,0.25
6,1,1.561889,19,13,68,0.845
6,2,1.535116,30,13,57,0.29
6,3,1.568058,39,13,48,0.17
7,1,1.5274985,19,15,66,0.845
7,2,1.528945,30,14,56,0.29
7,3,1.56166,39,14,47,0.23
8,1,1.570122,19,12.5,68,0.925
8,2,1.548144,34,12,54,0.26
8,3,1.581376,40,12,47,0.21
10,1,1.542739,21,13.5,65.5,0.925
10,2,1.541033,33,12,55,0.32
10,3,1.574047,39,13,48,0.24
11,1,1.474677,15,10,75,1.365
11,2,1.520156,21,11,68,0.32
11,3,1.553391,23,11,66,0.32
12,1,1.5253005,21,13.5,65.5,0.825
12,2,1.529493,35,12,53,0.29
12,3,1.562828,41,12,47,0.23
13,1,1.5617805,21,9.5,69.5,0.87
13,2,1.539822,35,11,55,0.24
13,3,1.574484,39,12,49,0.18
14,1,1.5203075,26,14,59.5,0.94
14,2,1.52406,37,13,50,0.35
14,3,1.558308,43,13,45,0.29
