Date,SM,Start Depth,End Depth,Site_ID,Sensor
2001/9/13,32.22755,15,30,1,1
2001/9/13,33.05,30,60,1,2
2001/9/13,33.05,60,100,1,3
2001/9/14,32.2201,15,30,1,1
2001/9/14,33.0869,30,60,1,2
2001/9/14,33.0869,60,100,1,3
2001/9/15,32.2023,15,30,1,1
2001/9/15,33.1635,30,60,1,2
2001/9/15,33.1635,60,100,1,3
2001/9/16,31.9526,15,30,1,1
2001/9/16,33.1994,30,60,1,2
2001/9/16,33.1994,60,100,1,3
2001/9/17,31.82155,15,30,1,1
2001/9/17,33.25,30,60,1,2
2001/9/17,33.25,60,100,1,3
2001/9/18,31.60565,15,30,1,1
2001/9/18,33.2735,30,60,1,2
2001/9/18,33.2735,60,100,1,3
2001/9/19,31.5523,15,30,1,1
2001/9/19,33.3356,30,60,1,2
2001/9/19,33.3356,60,100,1,3
2001/9/20,31.4194,15,30,1,1
2001/9/20,33.3183,30,60,1,2
2001/9/20,33.3183,60,100,1,3
2001/9/21,31.58645,15,30,1,1
2001/9/21,33.2127,30,60,1,2
2001/9/21,33.2127,60,100,1,3
2001/9/22,31.485,15,30,1,1
2001/9/22,33.2413,30,60,1,2
2001/9/22,33.2413,60,100,1,3
2001/9/23,31.38355,15,30,1,1
2001/9/23,33.2592,30,60,1,2
2001/9/23,33.2592,60,100,1,3
2001/9/24,31.18205,15,30,1,1
2001/9/24,33.2358,30,60,1,2
2001/9/24,33.2358,60,100,1,3
2001/9/25,31.0118,15,30,1,1
2001/9/25,33.259,30,60,1,2
2001/9/25,33.259,60,100,1,3
2001/9/26,31.15825,15,30,1,1
2001/9/26,33.3471,30,60,1,2
2001/9/26,33.3471,60,100,1,3
2001/9/27,31.0459,15,30,1,1
2001/9/27,33.4123,30,60,1,2
2001/9/27,33.4123,60,100,1,3
2001/9/28,30.81545,15,30,1,1
2001/9/28,33.4087,30,60,1,2
2001/9/28,33.4087,60,100,1,3
2001/9/29,30.5375,15,30,1,1
2001/9/29,33.4265,30,60,1,2
2001/9/29,33.4265,60,100,1,3
2001/9/30,30.3207,15,30,1,1
2001/9/30,33.4765,30,60,1,2
2001/9/30,33.4765,60,100,1,3
2001/10/1,30.11625,15,30,1,1
2001/10/1,33.6004,30,60,1,2
2001/10/1,33.6004,60,100,1,3
2001/10/2,30.6045,15,30,1,1
2001/10/2,33.4608,30,60,1,2
2001/10/2,33.4608,60,100,1,3
2001/10/3,30.75145,15,30,1,1
2001/10/3,33.5135,30,60,1,2
2001/10/3,33.5135,60,100,1,3
2001/10/4,30.73395,15,30,1,1
2001/10/4,33.5431,30,60,1,2
2001/10/4,33.5431,60,100,1,3
2001/10/5,30.46825,15,30,1,1
2001/10/5,33.5881,30,60,1,2
2001/10/5,33.5881,60,100,1,3
2001/10/6,30.33085,15,30,1,1
2001/10/6,33.6546,30,60,1,2
2001/10/6,33.6546,60,100,1,3
2001/10/7,30.2415,15,30,1,1
2001/10/7,33.7829,30,60,1,2
2001/10/7,33.7829,60,100,1,3
2001/10/8,30.625,15,30,1,1
2001/10/8,33.636,30,60,1,2
2001/10/8,33.636,60,100,1,3
2001/10/9,30.5422,15,30,1,1
2001/10/9,33.6823,30,60,1,2
2001/10/9,33.6823,60,100,1,3
2001/10/10,30.2105,15,30,1,1
2001/10/10,33.6621,30,60,1,2
2001/10/10,33.6621,60,100,1,3
2001/10/11,30.27825,15,30,1,1
2001/10/11,33.5952,30,60,1,2
2001/10/11,33.5952,60,100,1,3
2001/10/12,30.6026,15,30,1,1
2001/10/12,33.5606,30,60,1,2
2001/10/12,33.5606,60,100,1,3
2001/10/13,30.4227,15,30,1,1
2001/10/13,33.611,30,60,1,2
2001/10/13,33.611,60,100,1,3
2001/10/14,30.49205,15,30,1,1
2001/10/14,33.5456,30,60,1,2
2001/10/14,33.5456,60,100,1,3
2001/10/15,30.4578,15,30,1,1
2001/10/15,33.5308,30,60,1,2
2001/10/15,33.5308,60,100,1,3
2001/10/16,30.23285,15,30,1,1
2001/10/16,33.5644,30,60,1,2
2001/10/16,33.5644,60,100,1,3
2001/10/17,30.08685,15,30,1,1
2001/10/17,33.6408,30,60,1,2
2001/10/17,33.6408,60,100,1,3
