Site_ID,Sensor,BDW,CLY,SLT,SND,SOC
1,1,1.389209,26,15,58,1.19
1,2,1.418962,34,15,51,0.83
1,3,1.457436,36,16,47,0.74
2,1,1.490366,18,16,66,0.7
2,2,1.475258,30,15,54,0.35
2,3,1.508224,40,16,44,0.32
3,1,1.521412,23,17,59,0.67
3,2,1.496136,33,16,51,0.49
3,3,1.523947,39,15,45,0.36
4,1,1.512197,26,12,62,0.65
4,2,1.475872,35,11,54,0.38
4,3,1.4985,38,11,51,0.27
5,1,1.508249,29,14,57,0.7
5,2,1.467518,27,14,59,0.4
5,3,1.495459,29,15,57,0.34
6,1,1.498457,36,18,46,0.62
6,2,1.465843,36,18,47,0.43
6,3,1.491651,35,18,47,0.38
7,1,1.507062,18,10,72,0.6
7,2,1.485145,29,11,60,0.39
7,3,1.510531,34,12,54,0.24
