"","Site_ID","Gravimetric Moisture","Date","Top","Bottom","Mid_depth","ProbeType","TopSensorDepth","Sensor","SOC","Sand","Silt","Clay","EC","BD","Theta"
"860","DinT",0.170140075,"2018-01-29","20","30",25,"Sentek",30,1,0.281490118531597,33.3116099120161,17.9781799157865,49.9505560487975,0.598939797894182,1.1779278854,0.200412738766547
"861","DinT",0.197256813,"2018-01-29","30","40",35,"Sentek",30,2,0.450658927932398,31.9946181820059,24.8462125863287,45.0424999041674,0.512894073574598,1.2172732767,0.240115447111909
"862","DinT",0.200280505,"2018-01-29","40","50",45,"Sentek",30,3,0.289492953955753,45.1961505066703,29.682463200678,28.2387868820303,0.467334417012503,1.7228423617943,0.345051738255555
"863","DinT",0.185988324,"2018-01-29","50","60",55,"Sentek",30,4,0.1206724349636,52.4741547938837,31.1383948723108,20.2603693361541,0.407211513566123,1.77610976886478,0.330335679151188
"864","DinT",0.159827214,"2018-01-29","60","70",65,"Sentek",30,5,0.105776672960867,52.8770449959476,29.2326831018927,21.9867204472515,0.334654299369721,1.75023154175373,0.279734631173423
"865","DinT",0.117357182,"2018-01-29","70","80",75,"Sentek",30,6,0.13403484843676,52.6705096222642,26.2730456250911,25.0330979408849,0.396420328028285,1.72396972060304,0.2023202282633
"869","Din",0.131235499,"2018-01-29","10","20",15,"Mait",20,1,1.377470848455,27.4845083271036,27.7975265650674,44.7866844865759,0.604271097173589,1.5406051481,0.202182085372872
"870","Din",0.107196779,"2018-01-29","20","30",25,"Mait",20,2,0.989281959930359,23.6193658938158,24.4934110976219,51.0112707777507,0.782116990498878,1.5599388985,0.167220425356008
"872","Din",0.142594508,"2018-01-29","40","50",45,"Mait",20,3,0.686594769197884,22.5336729457177,22.903379942982,53.5081479421595,0.802397300253809,1.52601887447534,0.217601910604525
"874","Din",0.166238318,"2018-01-29","60","70",65,"Mait",20,4,0.535873711021183,23.2347892246078,22.6066406217968,53.5918366642464,0.685871878952026,1.66511244759455,0.276805492568982
"876","Din",0.134950249,"2018-01-29","80","90",85,"Mait",20,5,0.432608947824413,23.896364263754,22.4475986028468,53.5157935511421,0.585370808037233,1.77873965044877,0.240041358734235
"901","GlenMid",0.221886944,"2018-01-29","30","40",35,"Sentek",35,1,0.572971322207412,23.2058282883816,13.2187822440808,62.3436677364073,0.350452426019052,1.6248491898,0.360532821185598
"902","GlenMid",0.251259548,"2018-01-29","40","50",45,"Sentek",35,2,0.489490694512386,18.4370296248732,9.20125849781392,70.8300233719427,0.394504332758777,1.7945253956,0.450891639772977
"903","GlenMid",0.253566888,"2018-01-29","50","60",55,"Sentek",35,3,0.411127880468149,14.1178120109842,7.91268542048053,76.2542829625827,0.418170515780121,1.38114453356677,0.350212521254737
"904","GlenMid",0.258596392,"2018-01-29","60","70",65,"Sentek",35,4,0.334897612885885,10.579472981214,8.54176406205697,79.1278110554193,0.420109211045167,1.43860215689085,0.372017327295391
"905","GlenMid",0.251833741,"2018-01-29","70","80",75,"Sentek",35,5,0.271121100205099,8.30783074140224,9.99612213283909,80.1115560631719,0.400798719160807,1.51331465050736,0.381103689747375
"906","GlenMid",0.245293782,"2018-01-29","80","90",85,"Sentek",35,6,0.221357507084624,7.19694810676408,11.9788824090881,79.5602698752903,0.365660083151141,1.59846849888962,0.392094383500497
"907","GlenMid",0.260132073,"2018-01-29","90","100",95,"Sentek",35,7,0.190285768436123,6.6302031762458,13.3794958411576,78.9631442249597,0.339871147106643,1.68415587466668,0.43810295893217
