"id","upper","lower","LL","DUL","bulk_density","SOC","ECEC","pHc","pHw","clay","sand","silt"
127,0,10,0.17,0.32,1.23,0.8,6.8,5,5.45,0.13,0.71,0.16
127,10,20,0.17,0.32,1.39,0.63,6.78,4.94,5.46,0.14,0.7,0.15
127,20,30,0.17,0.32,1.44,0.52,7.41,5.03,5.58,0.2,0.66,0.14
127,30,40,0.17,0.32,1.46,0.44,8.17,5.18,5.78,0.25,0.61,0.14
127,40,50,0.18,0.32,1.5,0.36,8.83,5.33,6,0.3,0.56,0.14
127,50,60,0.18,0.32,1.54,0.31,9.13,5.45,6.16,0.32,0.54,0.13
127,60,70,0.17,0.32,1.57,0.3,9.13,5.55,6.25,0.32,0.54,0.13
127,70,80,0.17,0.32,1.58,0.28,9.31,5.63,6.33,0.32,0.54,0.13
127,80,90,0.18,0.32,1.58,0.26,9.68,5.7,6.42,0.33,0.54,0.13
127,90,100,0.18,0.32,1.56,0.25,9.97,5.76,6.49,0.33,0.53,0.13
127,100,110,0.18,0.33,1.54,0.26,10.08,5.79,6.53,0.34,0.53,0.13
127,110,120,0.18,0.33,1.53,0.26,9.89,5.8,6.56,0.34,0.52,0.13
127,120,130,0.18,0.33,1.52,0.25,9.47,5.78,6.56,0.35,0.52,0.14
127,130,140,0.18,0.32,1.53,0.26,9.28,5.77,6.53,0.34,0.52,0.14
127,140,150,0.18,0.32,1.53,0.27,9.34,5.76,6.5,0.33,0.53,0.14
127,150,160,0.18,0.32,1.54,0.27,9.38,5.76,6.48,0.33,0.54,0.14
127,160,170,0.18,0.32,1.53,0.27,9.36,5.76,6.49,0.33,0.53,0.14
127,170,180,0.18,0.32,1.53,0.27,9.35,5.76,6.49,0.33,0.53,0.14
132,0,10,0.17,0.31,1.22,0.72,6.85,5.1,5.68,0.19,0.62,0.19
132,10,20,0.17,0.31,1.44,0.56,6.53,4.95,5.69,0.19,0.62,0.19
132,20,30,0.17,0.31,1.54,0.49,6.62,4.96,5.77,0.19,0.62,0.19
132,30,40,0.17,0.32,1.55,0.44,7.4,4.99,5.86,0.22,0.6,0.18
132,40,50,0.18,0.32,1.53,0.39,8.83,5.04,5.97,0.28,0.55,0.17
132,50,60,0.18,0.33,1.52,0.33,10.7,5.22,6.17,0.32,0.52,0.16
132,60,70,0.18,0.33,1.54,0.28,12.86,5.51,6.46,0.34,0.51,0.15
132,70,80,0.19,0.34,1.54,0.24,14.95,5.78,6.72,0.37,0.49,0.14
132,80,90,0.19,0.34,1.52,0.24,16.7,5.98,6.92,0.4,0.47,0.13
132,90,100,0.19,0.35,1.5,0.23,17.39,6.1,7.04,0.42,0.45,0.13
132,100,110,0.19,0.35,1.48,0.23,17.13,6.15,7.08,0.42,0.45,0.13
132,110,120,0.19,0.35,1.48,0.23,16.91,6.16,7.08,0.43,0.44,0.13
132,120,130,0.19,0.35,1.47,0.24,16.86,6.12,7.05,0.44,0.44,0.12
132,130,140,0.19,0.35,1.48,0.24,16.74,6.09,7.01,0.43,0.44,0.13
132,140,150,0.19,0.35,1.48,0.24,16.57,6.07,6.98,0.42,0.45,0.13
132,150,160,0.19,0.34,1.48,0.25,16.49,6.07,6.97,0.41,0.46,0.13
132,160,170,0.19,0.35,1.48,0.25,16.52,6.07,6.97,0.42,0.45,0.13
132,170,180,0.19,0.35,1.48,0.25,16.54,6.07,6.98,0.42,0.45,0.13
133,0,10,0.17,0.31,1.26,0.63,5.97,4.86,5.55,0.15,0.66,0.19
133,10,20,0.17,0.31,1.46,0.52,5.82,4.76,5.57,0.15,0.66,0.19
133,20,30,0.17,0.31,1.54,0.46,6.17,4.78,5.73,0.17,0.65,0.18
133,30,40,0.17,0.31,1.58,0.4,6.97,4.9,5.88,0.2,0.62,0.18
133,40,50,0.17,0.31,1.61,0.34,8.02,5.08,6,0.23,0.6,0.17
133,50,60,0.17,0.31,1.62,0.3,8.82,5.25,6.13,0.25,0.58,0.16
133,60,70,0.17,0.31,1.61,0.27,9.51,5.4,6.29,0.26,0.58,0.16
133,70,80,0.17,0.32,1.61,0.25,11.01,5.56,6.42,0.29,0.55,0.15
133,80,90,0.18,0.32,1.6,0.25,13.08,5.73,6.52,0.34,0.52,0.14
133,90,100,0.18,0.33,1.58,0.25,14.17,5.83,6.6,0.37,0.49,0.14
133,100,110,0.18,0.33,1.56,0.27,14.26,5.86,6.66,0.39,0.47,0.14
133,110,120,0.18,0.33,1.54,0.27,14.36,5.87,6.7,0.41,0.46,0.13
133,120,130,0.18,0.33,1.54,0.28,14.54,5.88,6.72,0.41,0.45,0.13
133,130,140,0.18,0.33,1.55,0.28,14.36,5.87,6.7,0.41,0.46,0.13
133,140,150,0.18,0.33,1.55,0.27,13.86,5.84,6.66,0.39,0.47,0.14
133,150,160,0.18,0.33,1.56,0.27,13.64,5.83,6.64,0.38,0.48,0.14
133,160,170,0.18,0.33,1.56,0.27,13.72,5.84,6.65,0.39,0.47,0.14
133,170,180,0.18,0.33,1.55,0.27,13.79,5.84,6.66,0.39,0.47,0.14
134,0,10,0.17,0.31,1.22,0.66,6.43,4.99,5.66,0.18,0.62,0.2
134,10,20,0.17,0.31,1.47,0.61,6.23,4.87,5.66,0.18,0.62,0.2
134,20,30,0.17,0.31,1.56,0.57,6.45,4.89,5.71,0.19,0.62,0.2
134,30,40,0.17,0.31,1.59,0.51,7.18,4.94,5.81,0.21,0.6,0.19
134,40,50,0.17,0.32,1.59,0.42,8.3,4.99,5.96,0.25,0.57,0.18
134,50,60,0.17,0.32,1.6,0.36,9.35,5.11,6.11,0.27,0.56,0.17
134,60,70,0.18,0.32,1.61,0.33,10.45,5.3,6.23,0.28,0.55,0.17
134,70,80,0.18,0.33,1.62,0.31,12.33,5.5,6.39,0.32,0.52,0.16
134,80,90,0.18,0.33,1.6,0.29,14.67,5.68,6.56,0.37,0.48,0.15
134,90,100,0.19,0.34,1.58,0.29,15.87,5.79,6.68,0.41,0.45,0.14
134,100,110,0.19,0.34,1.56,0.3,15.88,5.83,6.73,0.43,0.43,0.14
134,110,120,0.19,0.34,1.54,0.3,15.71,5.84,6.76,0.44,0.42,0.14
134,120,130,0.19,0.34,1.54,0.3,15.56,5.83,6.77,0.44,0.42,0.14
134,130,140,0.19,0.34,1.54,0.3,15.43,5.82,6.76,0.44,0.42,0.14
134,140,150,0.19,0.34,1.54,0.3,15.32,5.8,6.72,0.43,0.43,0.14
134,150,160,0.19,0.34,1.55,0.3,15.27,5.79,6.71,0.42,0.44,0.14
134,160,170,0.19,0.34,1.55,0.3,15.29,5.79,6.71,0.42,0.43,0.14
134,170,180,0.19,0.34,1.55,0.3,15.3,5.79,6.72,0.42,0.43,0.14
135,0,10,0.17,0.31,1.22,0.67,5.85,4.89,5.45,0.13,0.68,0.18
135,10,20,0.17,0.31,1.38,0.55,5.82,4.82,5.46,0.14,0.69,0.18
135,20,30,0.17,0.31,1.42,0.46,6.47,4.88,5.6,0.16,0.68,0.16
135,30,40,0.17,0.31,1.47,0.39,7.38,5.02,5.79,0.2,0.65,0.15
135,40,50,0.17,0.31,1.56,0.35,8.35,5.2,5.99,0.26,0.59,0.15
135,50,60,0.17,0.32,1.61,0.31,9.02,5.35,6.13,0.28,0.56,0.15
135,60,70,0.17,0.32,1.63,0.29,9.43,5.46,6.21,0.29,0.56,0.15
135,70,80,0.17,0.32,1.63,0.27,9.95,5.56,6.28,0.3,0.55,0.15
135,80,90,0.18,0.32,1.62,0.25,10.52,5.65,6.35,0.32,0.53,0.15
135,90,100,0.18,0.32,1.61,0.25,10.75,5.7,6.4,0.33,0.52,0.14
135,100,110,0.18,0.33,1.6,0.26,10.64,5.72,6.43,0.33,0.52,0.14
135,110,120,0.18,0.33,1.59,0.26,10.49,5.73,6.45,0.34,0.52,0.14
135,120,130,0.18,0.33,1.58,0.26,10.37,5.73,6.47,0.34,0.52,0.14
135,130,140,0.18,0.33,1.58,0.26,10.26,5.72,6.45,0.34,0.52,0.14
135,140,150,0.18,0.32,1.59,0.26,10.16,5.69,6.41,0.33,0.53,0.15
135,150,160,0.18,0.32,1.6,0.26,10.12,5.68,6.39,0.32,0.53,0.15
135,160,170,0.18,0.32,1.59,0.26,10.13,5.68,6.4,0.32,0.53,0.15
135,170,180,0.18,0.32,1.59,0.26,10.15,5.68,6.41,0.32,0.53,0.15
136,0,10,0.18,0.32,1.16,0.69,6.45,5.05,5.64,0.19,0.6,0.21
136,10,20,0.18,0.32,1.4,0.6,6.19,4.91,5.64,0.18,0.61,0.21
136,20,30,0.18,0.32,1.49,0.53,6.33,4.93,5.72,0.19,0.61,0.2
136,30,40,0.18,0.33,1.53,0.46,7.21,4.96,5.79,0.21,0.6,0.19
136,40,50,0.18,0.33,1.54,0.38,8.65,4.98,5.86,0.25,0.57,0.18
136,50,60,0.18,0.33,1.55,0.32,9.83,5.1,6.01,0.27,0.56,0.17
136,60,70,0.18,0.33,1.56,0.29,10.76,5.32,6.22,0.29,0.55,0.17
136,70,80,0.18,0.33,1.56,0.27,12.07,5.51,6.39,0.31,0.53,0.16
136,80,90,0.19,0.34,1.55,0.26,13.6,5.65,6.51,0.35,0.5,0.15
136,90,100,0.19,0.34,1.54,0.26,14.37,5.73,6.58,0.37,0.49,0.14
136,100,110,0.19,0.34,1.53,0.27,14.37,5.75,6.63,0.38,0.48,0.14
136,110,120,0.19,0.34,1.52,0.27,14.23,5.76,6.66,0.39,0.47,0.14
136,120,130,0.19,0.34,1.52,0.27,14.07,5.76,6.67,0.39,0.46,0.14
136,130,140,0.19,0.34,1.52,0.27,13.92,5.75,6.65,0.39,0.47,0.14
136,140,150,0.19,0.34,1.53,0.27,13.78,5.73,6.62,0.38,0.48,0.14
136,150,160,0.19,0.34,1.53,0.27,13.73,5.72,6.6,0.37,0.48,0.15
136,160,170,0.19,0.34,1.53,0.27,13.75,5.72,6.61,0.37,0.48,0.15
136,170,180,0.19,0.34,1.53,0.27,13.76,5.72,6.61,0.37,0.48,0.14
137,0,10,0.17,0.31,1.21,0.77,6.3,4.99,5.6,0.14,0.68,0.18
137,10,20,0.17,0.31,1.44,0.57,6.17,4.91,5.61,0.15,0.68,0.17
137,20,30,0.17,0.31,1.53,0.46,6.57,4.95,5.73,0.16,0.68,0.16
137,30,40,0.17,0.31,1.58,0.4,7.27,5.08,5.88,0.19,0.66,0.15
137,40,50,0.17,0.31,1.62,0.35,8.14,5.25,6.02,0.23,0.62,0.15
137,50,60,0.17,0.31,1.66,0.31,9.01,5.39,6.16,0.26,0.6,0.15
137,60,70,0.17,0.31,1.67,0.29,9.79,5.47,6.31,0.26,0.59,0.15
137,70,80,0.17,0.31,1.68,0.26,10.3,5.52,6.47,0.26,0.59,0.15
137,80,90,0.17,0.31,1.67,0.23,10.55,5.55,6.63,0.26,0.6,0.14
137,90,100,0.17,0.31,1.67,0.22,10.72,5.58,6.75,0.25,0.61,0.14
137,100,110,0.17,0.31,1.66,0.22,10.83,5.6,6.83,0.25,0.61,0.14
137,110,120,0.17,0.32,1.65,0.22,10.77,5.62,6.87,0.26,0.6,0.14
137,120,130,0.17,0.32,1.64,0.22,10.59,5.65,6.87,0.27,0.59,0.14
137,130,140,0.17,0.32,1.64,0.23,10.48,5.64,6.85,0.27,0.59,0.14
137,140,150,0.17,0.32,1.64,0.23,10.47,5.62,6.81,0.26,0.6,0.14
137,150,160,0.17,0.32,1.64,0.23,10.48,5.61,6.8,0.26,0.6,0.14
137,160,170,0.17,0.32,1.64,0.23,10.47,5.62,6.8,0.26,0.6,0.14
137,170,180,0.17,0.32,1.64,0.23,10.47,5.62,6.81,0.26,0.6,0.14
138,0,10,0.17,0.31,1.27,0.68,6.41,4.85,5.57,0.16,0.65,0.19
138,10,20,0.17,0.31,1.45,0.55,6.31,4.79,5.59,0.16,0.65,0.19
138,20,30,0.17,0.31,1.54,0.47,6.75,4.87,5.77,0.19,0.63,0.18
138,30,40,0.17,0.31,1.58,0.41,7.48,5,5.95,0.23,0.61,0.17
138,40,50,0.17,0.31,1.61,0.35,8.38,5.16,6.09,0.26,0.58,0.16
138,50,60,0.17,0.32,1.62,0.3,9.37,5.33,6.26,0.28,0.57,0.15
138,60,70,0.17,0.32,1.62,0.26,10.48,5.51,6.44,0.3,0.55,0.15
138,70,80,0.18,0.32,1.62,0.24,11.75,5.67,6.58,0.32,0.53,0.15
138,80,90,0.18,0.32,1.62,0.23,13.05,5.8,6.67,0.36,0.49,0.14
138,90,100,0.18,0.33,1.61,0.24,13.87,5.88,6.75,0.39,0.47,0.14
138,100,110,0.18,0.33,1.59,0.24,14.09,5.92,6.82,0.4,0.46,0.14
138,110,120,0.18,0.33,1.59,0.24,13.73,5.92,6.84,0.4,0.47,0.14
138,120,130,0.18,0.32,1.59,0.23,13.03,5.91,6.83,0.38,0.47,0.14
138,130,140,0.18,0.32,1.59,0.23,12.84,5.89,6.8,0.38,0.48,0.14
138,140,150,0.18,0.33,1.59,0.24,13.14,5.89,6.78,0.38,0.48,0.14
138,150,160,0.18,0.33,1.59,0.25,13.3,5.88,6.76,0.38,0.48,0.14
138,160,170,0.18,0.33,1.59,0.24,13.24,5.88,6.77,0.38,0.48,0.14
138,170,180,0.18,0.33,1.59,0.24,13.19,5.88,6.77,0.38,0.48,0.14
139,0,10,0.17,0.31,1.16,0.7,6.47,4.96,5.57,0.16,0.62,0.21
139,10,20,0.17,0.31,1.35,0.56,6.34,4.84,5.57,0.17,0.63,0.21
139,20,30,0.17,0.31,1.42,0.49,6.72,4.89,5.68,0.17,0.64,0.2
139,30,40,0.17,0.31,1.48,0.44,7.57,4.98,5.82,0.2,0.62,0.18
139,40,50,0.17,0.31,1.55,0.39,8.72,5.08,5.97,0.26,0.56,0.18
139,50,60,0.17,0.31,1.58,0.36,9.79,5.23,6.12,0.29,0.53,0.18
139,60,70,0.17,0.32,1.58,0.34,10.87,5.43,6.26,0.31,0.52,0.17
139,70,80,0.18,0.33,1.57,0.33,12.62,5.62,6.44,0.35,0.48,0.17
139,80,90,0.18,0.33,1.55,0.31,14.74,5.75,6.64,0.41,0.43,0.16
139,90,100,0.19,0.34,1.54,0.3,15.74,5.82,6.74,0.44,0.41,0.15
139,100,110,0.19,0.34,1.52,0.31,15.61,5.82,6.76,0.45,0.41,0.15
139,110,120,0.19,0.34,1.51,0.31,15.34,5.83,6.79,0.45,0.4,0.15
139,120,130,0.19,0.34,1.51,0.32,15.13,5.84,6.84,0.45,0.4,0.15
139,130,140,0.19,0.34,1.51,0.32,14.9,5.84,6.83,0.44,0.4,0.15
139,140,150,0.19,0.34,1.51,0.31,14.68,5.81,6.78,0.43,0.42,0.15
139,150,160,0.19,0.34,1.51,0.31,14.59,5.8,6.76,0.42,0.43,0.15
139,160,170,0.19,0.34,1.51,0.31,14.62,5.81,6.77,0.42,0.43,0.15
139,170,180,0.19,0.34,1.51,0.31,14.65,5.81,6.78,0.42,0.42,0.15
140,0,10,0.17,0.32,1.19,0.76,7.23,5.27,5.59,0.13,0.71,0.16
140,10,20,0.17,0.32,1.35,0.61,7.23,5.22,5.62,0.14,0.71,0.15
140,20,30,0.17,0.32,1.39,0.5,7.9,5.32,5.78,0.19,0.68,0.14
140,30,40,0.18,0.32,1.42,0.41,8.82,5.46,5.98,0.23,0.64,0.13
140,40,50,0.18,0.32,1.46,0.35,9.76,5.6,6.18,0.27,0.6,0.13
140,50,60,0.18,0.32,1.5,0.32,10.44,5.69,6.34,0.29,0.58,0.13
140,60,70,0.18,0.32,1.53,0.3,10.87,5.75,6.44,0.29,0.58,0.13
140,70,80,0.18,0.33,1.53,0.28,11.31,5.8,6.52,0.3,0.57,0.13
140,80,90,0.18,0.33,1.53,0.26,11.76,5.86,6.57,0.31,0.56,0.13
140,90,100,0.18,0.33,1.51,0.25,12.03,5.9,6.6,0.31,0.56,0.13
140,100,110,0.18,0.33,1.5,0.26,12.09,5.93,6.62,0.32,0.55,0.13
140,110,120,0.18,0.33,1.49,0.26,12.01,5.94,6.64,0.32,0.55,0.13
140,120,130,0.18,0.33,1.49,0.26,11.85,5.95,6.65,0.32,0.56,0.13
140,130,140,0.18,0.33,1.5,0.26,11.69,5.93,6.64,0.31,0.56,0.13
140,140,150,0.18,0.33,1.51,0.27,11.56,5.9,6.6,0.3,0.56,0.13
140,150,160,0.18,0.33,1.51,0.27,11.51,5.88,6.58,0.3,0.56,0.13
140,160,170,0.18,0.33,1.51,0.27,11.53,5.89,6.58,0.3,0.56,0.13
140,170,180,0.18,0.33,1.51,0.27,11.55,5.89,6.59,0.3,0.56,0.13
142,0,10,0.17,0.31,1.25,0.73,6.55,5.07,5.64,0.13,0.68,0.18
