Site_ID,Sensor,SLGA_DUL1_O,SLGA_PWP1_O,SLGA_DUL1_N,SLGA_PWP1_N,SLGA_DUL2_O,SLGA_PWP2_O,SLGA_DUL2_N,SLGA_PWP2_N
1,1,0.268520382,0.134894643,0.277062009,0.155304783,0.345853348,0.197925781,0.336089577,0.211538014
1,2,0.302858264,0.175028889,0.282468498,0.170825659,0.367936524,0.243847311,0.348467083,0.228158385
1,3,0.298193686,0.176584308,0.266498548,0.163162605,0.363822831,0.245518112,0.348580499,0.219068367
2,1,0.29162234,0.156487618,0.285124742,0.159630998,0.358528149,0.219314535,0.336898773,0.216674145
2,2,0.314725702,0.187352598,0.296354939,0.180269362,0.385015399,0.253649342,0.350382036,0.239746054
2,3,0.307906043,0.187196945,0.284540455,0.176171334,0.374991846,0.253254514,0.35282455,0.23453096
3,1,0.267040803,0.125189762,0.213423487,0.090133961,0.303638985,0.188096402,0.264780239,0.122877611
3,2,0.28706359,0.154215381,0.243834023,0.131346038,0.349970174,0.22806096,0.306258754,0.18714828
3,3,0.282551104,0.155132085,0.265555186,0.155760379,0.360010512,0.23042598,0.329614701,0.217795975
4,1,0.300244137,0.163683845,0.273114658,0.147087147,0.349203609,0.225938233,0.326923615,0.199400014
4,2,0.320042155,0.190816859,0.26979095,0.157763912,0.376648175,0.256625995,0.334493029,0.212035387
4,3,0.312740697,0.189933675,0.267057394,0.159069,0.370772499,0.255913202,0.341631375,0.215446942
5,1,0.304812529,0.171103874,0.28961217,0.164846493,0.334904251,0.23462423,0.33921639,0.223123107
5,2,0.323350406,0.197574685,0.30999536,0.191266281,0.370567815,0.262646621,0.354188275,0.252769317
5,3,0.316891831,0.196773173,0.297581358,0.18713137,0.3722612,0.261760881,0.356693109,0.247408334
6,1,0.322336444,0.181897075,0.302288477,0.176394923,0.355956901,0.242639863,0.354584678,0.229174535
6,2,0.335505049,0.206537362,0.27788957,0.170844719,0.384919402,0.268515936,0.353128299,0.222004921
6,3,0.328640628,0.206102205,0.26178834,0.163274432,0.380032343,0.267938194,0.357537557,0.213408035
7,1,0.334539294,0.194172293,0.293514164,0.168556693,0.34983887,0.260134523,0.340744716,0.226265373
7,2,0.340631126,0.207749117,0.294004905,0.17720161,0.390597241,0.273081487,0.34822796,0.236325096
7,3,0.328961428,0.203388742,0.286890056,0.176647503,0.37688067,0.269208472,0.35282455,0.234877464
8,1,0.270213092,0.13819805,0.219613129,0.103230795,0.318928362,0.200819282,0.285841585,0.146521616
8,2,0.30141944,0.17613365,0.276216628,0.163427699,0.351549133,0.245386366,0.329414426,0.226014452
8,3,0.297546433,0.177863417,0.277130019,0.168251387,0.35666884,0.247416963,0.34355391,0.232431576
9,1,0.305902671,0.16828995,0.250799267,0.126724107,0.342845796,0.229647624,0.307753426,0.174229943
9,2,0.321712646,0.195348674,0.282488093,0.168541038,0.374770195,0.259743447,0.339095674,0.227334764
9,3,0.315731744,0.195799675,0.278910299,0.169706632,0.368254698,0.260170523,0.346041991,0.229832227
10,1,0.302741944,0.169200548,0.280911766,0.159847566,0.322488202,0.231046653,0.34394322,0.213097392
10,2,0.31129209,0.188035779,0.3114943,0.195744762,0.36439102,0.252989483,0.3632539,0.253519949
10,3,0.306725251,0.188601857,0.290661162,0.184415177,0.368705738,0.253750337,0.361533911,0.241328147
11,1,0.317563011,0.175738693,0.279325661,0.15619596,0.371946604,0.242053491,0.336827657,0.209096078
11,2,0.339841733,0.206032318,0.287677966,0.173331024,0.393450655,0.271708127,0.348467083,0.229741668
11,3,0.33231729,0.204994732,0.288668894,0.180031589,0.384375695,0.27041535,0.35734368,0.236233521
12,1,0.30406177,0.168678489,0.278637374,0.154635934,0.323911974,0.232299445,0.334411172,0.20727104
12,2,0.331847803,0.203767856,0.314012507,0.195063623,0.351980991,0.269826163,0.358759818,0.254408172
12,3,0.328569377,0.204582022,0.296911331,0.187254643,0.369684807,0.269787346,0.359141654,0.245577109
13,1,0.306075085,0.170445851,0.285002475,0.161785632,0.330496709,0.233166721,0.340062448,0.217140818
13,2,0.321877428,0.195940396,0.294948652,0.179842036,0.365542223,0.261149696,0.350382036,0.239442237
13,3,0.317992338,0.196850969,0.286920932,0.179191449,0.375901381,0.261799794,0.354955444,0.237772962
