Date,SM,Start Depth,End Depth,Site_ID,Sensor
6/10/2006,19.5602,15,30,1,1
6/10/2006,27.0346,30,60,1,2
6/10/2006,27.0346,60,100,1,3
6/11/2006,20.70195,15,30,1,1
6/11/2006,27.0835,30,60,1,2
6/11/2006,27.0835,60,100,1,3
6/12/2006,20.90195,15,30,1,1
6/12/2006,27.2492,30,60,1,2
6/12/2006,27.2492,60,100,1,3
6/13/2006,20.9163,15,30,1,1
6/13/2006,27.2943,30,60,1,2
6/13/2006,27.2943,60,100,1,3
6/14/2006,20.89515,15,30,1,1
6/14/2006,27.2668,30,60,1,2
6/14/2006,27.2668,60,100,1,3
6/15/2006,20.80645,15,30,1,1
6/15/2006,27.1721,30,60,1,2
6/15/2006,27.1721,60,100,1,3
6/16/2006,20.72075,15,30,1,1
6/16/2006,26.9632,30,60,1,2
6/16/2006,26.9632,60,100,1,3
6/17/2006,20.6785,15,30,1,1
6/17/2006,26.8137,30,60,1,2
6/17/2006,26.8137,60,100,1,3
6/18/2006,20.6522,15,30,1,1
6/18/2006,26.7246,30,60,1,2
6/18/2006,26.7246,60,100,1,3
6/19/2006,20.61435,15,30,1,1
6/19/2006,26.6175,30,60,1,2
6/19/2006,26.6175,60,100,1,3
6/20/2006,20.65905,15,30,1,1
6/20/2006,26.5493,30,60,1,2
6/20/2006,26.5493,60,100,1,3
6/21/2006,20.73515,15,30,1,1
6/21/2006,26.5425,30,60,1,2
6/21/2006,26.5425,60,100,1,3
6/22/2006,20.7289,15,30,1,1
6/22/2006,26.5022,30,60,1,2
6/22/2006,26.5022,60,100,1,3
6/23/2006,21.01355,15,30,1,1
6/23/2006,26.3462,30,60,1,2
6/23/2006,26.3462,60,100,1,3
6/24/2006,21.31165,15,30,1,1
6/24/2006,26.3813,30,60,1,2
6/24/2006,26.3813,60,100,1,3
6/25/2006,21.5017,15,30,1,1
6/25/2006,26.5586,30,60,1,2
6/25/2006,26.5586,60,100,1,3
6/26/2006,21.66695,15,30,1,1
6/26/2006,26.7424,30,60,1,2
6/26/2006,26.7424,60,100,1,3
6/27/2006,21.711,15,30,1,1
6/27/2006,26.8197,30,60,1,2
6/27/2006,26.8197,60,100,1,3
6/28/2006,21.68375,15,30,1,1
6/28/2006,26.8239,30,60,1,2
6/28/2006,26.8239,60,100,1,3
6/29/2006,21.6238,15,30,1,1
6/29/2006,26.7775,30,60,1,2
6/29/2006,26.7775,60,100,1,3
6/30/2006,21.5816,15,30,1,1
6/30/2006,26.6931,30,60,1,2
6/30/2006,26.6931,60,100,1,3
7/1/2006,21.57535,15,30,1,1
7/1/2006,26.566,30,60,1,2
7/1/2006,26.566,60,100,1,3
7/2/2006,21.7535,15,30,1,1
7/2/2006,26.4725,30,60,1,2
7/2/2006,26.4725,60,100,1,3
7/3/2006,21.9344,15,30,1,1
7/3/2006,26.4571,30,60,1,2
7/3/2006,26.4571,60,100,1,3
7/4/2006,22.0436,15,30,1,1
7/4/2006,26.5765,30,60,1,2
7/4/2006,26.5765,60,100,1,3
7/5/2006,22.0471,15,30,1,1
7/5/2006,26.5717,30,60,1,2
7/5/2006,26.5717,60,100,1,3
7/6/2006,22.0295,15,30,1,1
7/6/2006,26.5915,30,60,1,2
7/6/2006,26.5915,60,100,1,3
7/7/2006,22.0447,15,30,1,1
7/7/2006,26.6796,30,60,1,2
7/7/2006,26.6796,60,100,1,3
7/8/2006,21.98895,15,30,1,1
7/8/2006,26.7089,30,60,1,2
7/8/2006,26.7089,60,100,1,3
7/9/2006,21.97015,15,30,1,1
7/9/2006,26.6342,30,60,1,2
7/9/2006,26.6342,60,100,1,3
7/10/2006,21.92585,15,30,1,1
7/10/2006,26.5779,30,60,1,2
7/10/2006,26.5779,60,100,1,3
7/11/2006,21.88565,15,30,1,1
7/11/2006,26.6011,30,60,1,2
7/11/2006,26.6011,60,100,1,3
7/12/2006,21.86885,15,30,1,1
7/12/2006,26.6164,30,60,1,2
7/12/2006,26.6164,60,100,1,3
7/13/2006,21.8811,15,30,1,1
7/13/2006,26.7099,30,60,1,2
7/13/2006,26.7099,60,100,1,3
7/14/2006,21.82645,15,30,1,1
7/14/2006,26.7657,30,60,1,2
7/14/2006,26.7657,60,100,1,3
7/15/2006,22.20755,15,30,1,1
7/15/2006,26.6521,30,60,1,2
7/15/2006,26.6521,60,100,1,3
7/16/2006,22.91325,15,30,1,1
7/16/2006,26.629,30,60,1,2
7/16/2006,26.629,60,100,1,3
7/17/2006,23.2038,15,30,1,1
7/17/2006,26.5861,30,60,1,2
7/17/2006,26.5861,60,100,1,3
7/18/2006,23.37545,15,30,1,1
7/18/2006,26.5458,30,60,1,2
7/18/2006,26.5458,60,100,1,3
7/19/2006,23.6251,15,30,1,1
7/19/2006,26.766,30,60,1,2
7/19/2006,26.766,60,100,1,3
7/20/2006,23.6859,15,30,1,1
7/20/2006,26.8022,30,60,1,2
7/20/2006,26.8022,60,100,1,3
7/21/2006,23.64385,15,30,1,1
7/21/2006,26.7744,30,60,1,2
7/21/2006,26.7744,60,100,1,3
7/22/2006,23.6177,15,30,1,1
7/22/2006,26.7926,30,60,1,2
7/22/2006,26.7926,60,100,1,3
7/23/2006,23.51755,15,30,1,1
7/23/2006,26.6142,30,60,1,2
7/23/2006,26.6142,60,100,1,3
7/24/2006,23.92415,15,30,1,1
7/24/2006,26.5594,30,60,1,2
7/24/2006,26.5594,60,100,1,3
7/25/2006,24.37285,15,30,1,1
7/25/2006,26.514,30,60,1,2
7/25/2006,26.514,60,100,1,3
7/26/2006,24.795,15,30,1,1
7/26/2006,26.651,30,60,1,2
7/26/2006,26.651,60,100,1,3
7/27/2006,24.94715,15,30,1,1
7/27/2006,26.6022,30,60,1,2
7/27/2006,26.6022,60,100,1,3
7/28/2006,25.0335,15,30,1,1
7/28/2006,26.6456,30,60,1,2
7/28/2006,26.6456,60,100,1,3
7/29/2006,25.0077,15,30,1,1
7/29/2006,26.5735,30,60,1,2
7/29/2006,26.5735,60,100,1,3
7/30/2006,24.91175,15,30,1,1
7/30/2006,26.5515,30,60,1,2
7/30/2006,26.5515,60,100,1,3
7/31/2006,24.78805,15,30,1,1
7/31/2006,26.5043,30,60,1,2
7/31/2006,26.5043,60,100,1,3
8/1/2006,24.75395,15,30,1,1
8/1/2006,26.6442,30,60,1,2
8/1/2006,26.6442,60,100,1,3
8/2/2006,24.66965,15,30,1,1
8/2/2006,26.655,30,60,1,2
8/2/2006,26.655,60,100,1,3
