Date,Soil_Moisture,Depth
2003/12/17,24.57819444,1
2003/12/17,25.24027778,2
2003/12/17,24.80375,3
2003/12/18,25.21986111,1
2003/12/18,24.99416667,2
2003/12/18,25.32152778,3
2003/12/19,24.68805556,1
2003/12/19,24.35652778,2
2003/12/19,24.17972222,3
2003/12/20,24.12055556,1
2003/12/20,24.14277778,2
2003/12/20,23.94708333,3
2003/12/21,23.76930556,1
2003/12/21,23.56680556,2
2003/12/21,23.39125,3
2003/12/22,23.24722222,1
2003/12/22,23.21083333,2
2003/12/22,23.08125,3
2003/12/23,23.10652778,1
2003/12/23,23.03597222,2
2003/12/23,23.48652778,3
2003/12/24,23.83319444,1
2003/12/24,23.39694444,2
2003/12/24,23.07430556,3
2003/12/25,22.98458333,1
2003/12/25,22.93194444,2
2003/12/25,22.87222222,3
2003/12/26,22.80055556,1
2003/12/26,22.89,2
2003/12/26,22.80319444,3
2003/12/27,22.81888889,1
2003/12/27,23.02444444,2
2003/12/27,22.91513889,3
2003/12/28,22.685,1
2003/12/28,22.50638889,2
2003/12/28,22.47972222,3
2003/12/29,22.58486111,1
2003/12/29,22.59166667,2
2003/12/29,22.44069444,3
2003/12/30,22.43708333,1
2003/12/30,22.39125,2
2003/12/30,22.3175,3
2003/12/31,22.37888889,1
2003/12/31,22.33583333,2
2003/12/31,22.27291667,3
2004/1/1,22.14763889,1
2004/1/1,22.00625,2
2004/1/1,21.95541667,3
2004/1/2,21.91625,1
2004/1/2,21.81777778,2
2004/1/2,21.74347222,3
2004/1/3,21.72736111,1
2004/1/3,21.62986111,2
2004/1/3,21.69388889,3
2004/1/4,21.87236111,1
2004/1/4,21.55027778,2
2004/1/4,21.56486111,3
2004/1/5,21.34986111,1
2004/1/5,21.31083333,2
2004/1/5,21.29888889,3
2004/1/6,21.35513889,1
2004/1/6,21.35916667,2
2004/1/6,21.29763889,3
2004/1/7,21.23513889,1
2004/1/7,21.23486111,2
2004/1/7,21.06138889,3
2004/1/8,21.02569444,1
2004/1/8,21.28763889,2
2004/1/8,20.97263889,3
2004/1/9,20.93902778,1
2004/1/9,20.83583333,2
2004/1/9,20.74194444,3
2004/1/10,20.71347222,1
